assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCA_001015355.1	PRJNA269593	SAMN03255769	LDNV00000000.1	na	9606	9606	Homo sapiens		CHM13	latest	Contig	Major	Full	01/06/2015	CHM13 CA Sensitive 5% Error	The Genome Institute at Washington University School of Medicine	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/015/355/GCA_001015355.1_CHM13_CA_Sensitive_5_Error		
GCA_001015385.3	PRJNA269593	SAMN03255769	LDOC00000000.3	na	9606	9606	Homo sapiens		CHM13	latest	Contig	Major	Full	20/11/2015	CHM13 CA Sensitive 2.5% Error	The Genome Institute at Washington University School of Medicine	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/015/385/GCA_001015385.3_CHM13_CA_Sensitive_2.5_Error		
GCA_001292825.2	PRJNA203659	SAMN00009513	LIQK00000000.2	na	9606	9606	Homo sapiens		CMT-001	latest	Chromosome	Major	Full	12/11/2015	HS1011_v1.1	Baylor College of Medicine	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/292/825/GCA_001292825.2_HS1011_v1.1		
GCA_001297185.1	PRJNA246220	SAMN02744161	LJII00000000.1	na	9606	9606	Homo sapiens		CHM1	latest	Contig	Major	Full	22/09/2015	PacBioCHM1_r2_GenBank_08312015	University of Washington	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/297/185/GCA_001297185.1_PacBioCHM1_r2_GenBank_08312015		
GCA_001307015.1	PRJNA246220	SAMN02743421	LKHY00000000.1	na	9606	9606	Homo sapiens		CHM1	latest	Contig	Major	Full	14/10/2015	CA P5+P6 CHM1 Assembly Conservative 2.5% Error	University of Washington	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/015/GCA_001307015.1_CA_P5_P6_CHM1_Assembly_Conservative_2.5_Error		
GCA_001307025.1	PRJNA246220	SAMN02743421	LKHW00000000.1	na	9606	9606	Homo sapiens		CHM1	latest	Contig	Major	Full	14/10/2015	CA P6 CHM1 Conservative 2.5%	University of Washington	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/025/GCA_001307025.1_CA_P6_CHM1_Conservative_2.5_		
GCA_001307125.1	PRJNA246220	SAMN02743421	LKHX00000000.1	na	9606	9606	Homo sapiens		CHM1	latest	Contig	Major	Full	14/10/2015	CA P5+P6 CHM1 Assembly Default 5% Error	University of Washington	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/125/GCA_001307125.1_CA_P5_P6_CHM1_Assembly_Default_5_Error		
GCA_001420745.1	PRJNA246220	SAMN02743421	LMBD00000000.1	na	9606	9606	Homo sapiens		CHM1	latest	Contig	Major	Full	02/11/2015	CA P5+P6 CHM1 Assembly Sensitive 2.5% Error	NBACC	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/420/745/GCA_001420745.1_CA_P5_P6_CHM1_Assembly_Sensitive_2.5_Error		
GCA_001420755.1	PRJNA246220	SAMN02743421	LMBA00000000.1	na	9606	9606	Homo sapiens		CHM1	latest	Contig	Major	Full	02/11/2015	CA P5+P6 CHM1 Assembly Sensitive No Breaking 5% Error	NBACC	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/420/755/GCA_001420755.1_CA_P5_P6_CHM1_Assembly_Sensitive_No_Breaking_5_Error		
GCA_001420765.1	PRJNA246220	SAMN02743421	LMBB00000000.1	na	9606	9606	Homo sapiens		CHM1	latest	Contig	Major	Full	02/11/2015	CA P5+P6 CHM1 Assembly Sensitive No Breaking 2.5% Error	NBACC	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/420/765/GCA_001420765.1_CA_P5_P6_CHM1_Assembly_Sensitive_No_Breaking_2.5_Error		
GCA_001421375.1	PRJNA246220	SAMN02743421	LMBC00000000.1	na	9606	9606	Homo sapiens		CHM1	latest	Contig	Major	Full	02/11/2015	CA P5+P6 CHM1 Assembly Sensitive 5% Error	NBACC	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/421/375/GCA_001421375.1_CA_P5_P6_CHM1_Assembly_Sensitive_5_Error		
GCA_001483585.1	PRJNA305314	SAMN04316313	LOQL00000000.1	na	9606	9606	Homo sapiens			latest	Scaffold	Major	Full	30/12/2015	hirise_NA12878_merac_L1_L2_50%	Dovetail Genomics	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/483/585/GCA_001483585.1_hirise_NA12878_merac_L1_L2_50_		
GCA_001483605.1	PRJNA305315	SAMN04316313	LOQM00000000.1	na	9606	9606	Homo sapiens			latest	Scaffold	Major	Full	30/12/2015	hirise_NA12878_merac_L1_L2_L3	Dovetail Genomics	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/483/605/GCA_001483605.1_hirise_NA12878_merac_L1_L2_L3		
GCA_001483655.1	PRJNA306147	SAMN04316313	LPXP00000000.1	na	9606	9606	Homo sapiens			latest	Scaffold	Major	Full	30/12/2015	NA12878_merac_PE_MP_Fos	Dovetail Genomics	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/483/655/GCA_001483655.1_NA12878_merac_PE_MP_Fos		
GCA_001483685.1	PRJNA301471	SAMN04316313	LOEK00000000.1	na	9606	9606	Homo sapiens			latest	Scaffold	Major	Full	30/12/2015	hirise_NA12878_merac_L1_L2	Dovetail Genomics	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/483/685/GCA_001483685.1_hirise_NA12878_merac_L1_L2		
GCA_001500185.1	PRJNA305645	SAMN04316313	LOQP00000000.1	na	9606	9606	Homo sapiens			latest	Scaffold	Major	Full	30/12/2015	NA12878_merac_PE	Dovetail Genomics	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/500/185/GCA_001500185.1_NA12878_merac_PE		
GCA_001500205.1	PRJNA305644	SAMN04316313	LOQO00000000.1	na	9606	9606	Homo sapiens			latest	Scaffold	Major	Full	30/12/2015	hirise_NA12878_discovar_L1_L2	Dovetail Genomics	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/500/205/GCA_001500205.1_hirise_NA12878_discovar_L1_L2		
GCA_001517065.1	PRJNA305633	SAMN04316313	LOQN00000000.1	na	9606	9606	Homo sapiens			latest	Scaffold	Major	Full	30/12/2015	NA12878_discovar	Dovetail Genomics	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/517/065/GCA_001517065.1_NA12878_discovar		
GCA_001524155.4	PRJNA288807	SAMN03838746	LKPB00000000.2	na	9606	9606	Homo sapiens		NA19240	latest	Chromosome	Major	Full	19/07/2017	NA19240_prelim_3.0	The Genome Institute at Washington University School of Medicine	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/524/155/GCA_001524155.4_NA19240_prelim_3.0		
GCA_001542345.1	PRJNA200694	SAMN03283347	LRIL00000000.1	na	9606	9606	Homo sapiens		NA24385	latest	Contig	Major	Full	28/01/2016	GIAB Ashkenazim Son HG002/NA24385/huAA53E0 PacBio Assembly with PBcR	Genome in a Bottle	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/542/345/GCA_001542345.1_GIAB_Ashkenazim_Son_HG002_NA24385_huAA53E0_PacBio_Assembly_with_PBcR		
GCA_001549595.1	PRJNA200694	SAMN03283346	LRUM00000000.1	na	9606	9606	Homo sapiens		NA24143	latest	Contig	Major	Full	16/02/2016	GIAB Ashkenazim Mother HG004/NA24143/hu8E87A9 PacBio Assembly with PBcR	Genome in a Bottle	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/549/595/GCA_001549595.1_GIAB_Ashkenazim_Mother_HG004_NA24143_hu8E87A9_PacBio_Assembly_with_PBcR		
GCA_001549605.1	PRJNA200694	SAMN03283345	LRUL00000000.1	na	9606	9606	Homo sapiens		NA24149	latest	Contig	Major	Full	16/02/2016	GIAB Ashkenazim Father HG003/NA24149/hu6E4515 PacBio Assembly with PBcR	Genome in a Bottle	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/549/605/GCA_001549605.1_GIAB_Ashkenazim_Father_HG003_NA24149_hu6E4515_PacBio_Assembly_with_PBcR		
GCA_001708065.2	PRJNA301527	SAMN04251426	LYOV00000000.2	na	9606	9606	Homo sapiens		HX1	latest	Scaffold	Major	Full	21/10/2016	HX1_1.1	University of Southern California	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/708/065/GCA_001708065.2_HX1_1.1		
GCA_001712695.1	PRJNA294231	SAMN04018081	LWKW00000000.1	na	9606	9606	Homo sapiens		KOREF	latest	Chromosome	Major	Full	20/09/2016	KOREF1.0	Genome Research Foundation	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/712/695/GCA_001712695.1_KOREF1.0		
GCA_001750385.2	PRJNA298944	SAMN04169050	LPVO00000000.2	na	9606	9606	Homo sapiens		AK1	latest	Scaffold	Major	Full	13/10/2016	AK1_v2	Macrogen	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/750/385/GCA_001750385.2_AK1_v2		
GCA_001856745.1	PRJNA324747	SAMN05213946	LZYJ00000000.1	na	9606	9606	Homo sapiens		Han-1	latest	Contig	Major	Full	11/10/2016	ASM185674v1	Sun Yat-sen University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/856/745/GCA_001856745.1_ASM185674v1		
GCA_001879175.2	PRJNA298944	SAMN04169050	MNPK00000000.1	na	9606	9606	Homo sapiens		AK1	latest	Contig	Major	Partial	15/11/2016	AK1_MHC_Haplotigs_v1	Macrogen	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/879/175/GCA_001879175.2_AK1_MHC_Haplotigs_v1		
GCA_002008905.1	PRJNA288807	SAMN03838746	MWMC00000000.1	na	9606	9606	Homo sapiens		NA19240	latest	Scaffold	Major	Full	06/03/2017	NA19240_Illumina_1.0	The Genome Institute at Washington University School of Medicine	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/008/905/GCA_002008905.1_NA19240_Illumina_1.0		
GCA_002009925.1	PRJNA298944	SAMN04169050	LYWJ00000000.1	na	9606	9606	Homo sapiens		AK1	latest	Contig	Major	Full	21/10/2016	AK1_Haplotigs_v1	Macrogen	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/009/925/GCA_002009925.1_AK1_Haplotigs_v1		
GCA_002022525.1	PRJNA339314	SAMN05589122	MSBJ00000000.1	na	9606	9606	Homo sapiens		HG00512	latest	Scaffold	Major	Full	07/03/2017	10x.supernova.msHG00512	10x Genomics	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/022/525/GCA_002022525.1_10x.supernova.msHG00512		
GCA_002022805.1	PRJNA339314	SAMN05589119	MSBN00000000.1	na	9606	9606	Homo sapiens		NA19238	latest	Scaffold	Major	Full	07/03/2017	10x.supernova.msNA19238	10x Genomics	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/022/805/GCA_002022805.1_10x.supernova.msNA19238		
GCA_002022825.1	PRJNA339314	SAMN05589124	MSBL00000000.1	na	9606	9606	Homo sapiens		10xHGP	latest	Scaffold	Major	Full	07/03/2017	10x.supernova.msHGP	10x Genomics	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/022/825/GCA_002022825.1_10x.supernova.msHGP		
GCA_002022845.1	PRJNA339314	SAMN03274119	MSBM00000000.1	na	9606	9606	Homo sapiens		NA12878	latest	Scaffold	Major	Full	07/03/2017	10x.supernova.msNA12878	10x Genomics	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/022/845/GCA_002022845.1_10x.supernova.msNA12878		
GCA_002022865.1	PRJNA339314	SAMN05589121	MSBK00000000.1	na	9606	9606	Homo sapiens		HG00733	latest	Scaffold	Major	Full	07/03/2017	10x.supernova.msHG00733	10x Genomics	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/022/865/GCA_002022865.1_10x.supernova.msHG00733		
GCA_002022975.1	PRJNA339314	SAMN05589120	MSBO00000000.1	na	9606	9606	Homo sapiens		NA19240	latest	Scaffold	Major	Full	07/03/2017	10x.supernova.msNA19240	10x Genomics	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/022/975/GCA_002022975.1_10x.supernova.msNA19240		
GCA_002023025.1	PRJNA339314	SAMN05589123	MSBP00000000.1	na	9606	9606	Homo sapiens		NA24385	latest	Scaffold	Major	Full	07/03/2017	10x.supernova.msNA24385	10x Genomics	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/023/025/GCA_002023025.1_10x.supernova.msNA24385		
GCA_002077035.3	PRJNA323611	SAMN05181962	NBMU00000000.1	na	9606	9606	Homo sapiens		NA12878	latest	Chromosome	Major	Full	09/02/2018	NA12878_prelim_3.0	The Genome Institute at Washington University School of Medicine	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/077/035/GCA_002077035.3_NA12878_prelim_3.0		
GCA_002180035.2	PRJNA300843	SAMN04229552	NIOH00000000.1	na	9606	9606	Homo sapiens		HG00514	latest	Contig	Major	Full	24/01/2018	HG00514_prelim_2.1	The Genome Institute at Washington University School of Medicine	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/180/035/GCA_002180035.2_HG00514_prelim_2.1		
GCA_002208065.1	PRJNA300840	SAMN04229548	NJRJ00000000.1	na	9606	9606	Homo sapiens		HG00733	latest	Contig	Major	Full	26/06/2017	HG00733_prelim_1.0	The Genome Institute at Washington University School of Medicine	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/208/065/GCA_002208065.1_HG00733_prelim_1.0		
GCA_002209525.1	PRJNA339719	SAMN05603729	NKHJ00000000.1	na	9606	9606	Homo sapiens		HG01352	latest	Contig	Major	Full	27/06/2017	HG01352_prelim_1.0	The Genome Institute at Washington University School of Medicine	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/209/525/GCA_002209525.1_HG01352_prelim_1.0		
GCA_002872155.1	PRJNA385272	SAMN06885952	POCD00000000.1	na	9606	9606	Homo sapiens		NA19434	latest	Contig	Major	Full	10/01/2018	NA19434_prelim_1.0	The Genome Institute at Washington University School of Medicine	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/872/155/GCA_002872155.1_NA19434_prelim_1.0		
GCA_002884475.1	PRJNA369439	SAMN03838746	NTIB00000000.1	na	9606	9606	Homo sapiens		NA19240	latest	Contig	Major	Full	16/01/2018	YRI_HSA_v1	University of Washington	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/884/475/GCA_002884475.1_YRI_HSA_v1		
GCA_002884485.1	PRJNA369439	SAMN03255769	NTIA00000000.1	na	9606	9606	Homo sapiens		CHM13	latest	Contig	Major	Full	16/01/2018	CHM13_HSA_v1	University of Washington	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/884/485/GCA_002884485.1_CHM13_HSA_v1		
GCA_900232925.1	PRJEB23027	SAMEA104349931	OCVW00000000.1	na	9606	9606	Homo sapiens			latest	Contig	Major	Full	25/10/2017	Nanopore-only assembly with Illumina polishing	UB	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/232/925/GCA_900232925.1_Nanopore-only_assembly_with_Illumina_polishing		
GCA_000002285.2	PRJNA13179	SAMN02953603	AAEX00000000.3	representative genome	9615	9612	Canis lupus familiaris	breed=boxer		latest	Chromosome	Major	Full	02/11/2011	CanFam3.1	Dog Genome Sequencing Consortium	GCF_000002285.3	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/285/GCA_000002285.3_CanFam3.1		
GCA_000181415.1	PRJNA10628	SAMN03004377	AACN000000000.1	na	9615	9612	Canis lupus familiaris	breed=poodle		latest	Contig	Major	Full	27/09/2003	ASM18141v1	TIGR	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/415/GCA_000181415.1_ASM18141v1		
GCA_000331495.1	PRJNA176193	SAMN01737209	AOCS00000000.1	na	9615	9612	Canis lupus familiaris	breed=beagle		latest	Contig	Major	Full	10/01/2013	Beagle	GlaxoSmithKline	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/331/495/GCA_000331495.1_Beagle		
GCA_002087435.1	PRJNA305243	SAMN04320964	LQAT00000000.1	na	9615	9612	Canis lupus familiaris	breed=Yorkshire terrier	Yoclon	latest	Scaffold	Major	Partial	07/04/2017	ASM208743v1	CAAS	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/087/435/GCA_002087435.1_ASM208743v1		
GCA_001883655.1	PRJNA304992	SAMN04312209	LPRA00000000.1	na	9622	9622	Lycaon pictus		Kenya WGF20	latest	Chromosome	Major	Full	01/12/2016	LycPicKen1.0	Smithsonian Institution	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/883/655/GCA_001883655.1_LycPicKen1.0		
GCA_001887905.1	PRJNA304992	SAMN04312208	LPRB00000000.1	representative genome	9622	9622	Lycaon pictus		South Africa Ananku	latest	Chromosome	Major	Full	01/12/2016	LycPicSAfr1.0	Smithsonian Institution	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/887/905/GCA_001887905.1_LycPicSAfr1.0		
GCA_000612945.1	PRJEB5121	SAMEA3138984	CBZK000000000.1	na	9644	9644	Ursus arctos			latest	Scaffold	Major	Partial	31/03/2014	CS3220	BIK-F	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/612/945/GCA_000612945.1_CS3220		
GCA_000004335.1	PRJNA38683	SAMN00008160	ACTA00000000.1	representative genome	9646	9646	Ailuropoda melanoleuca			latest	Scaffold	Major	Full	15/12/2009	AilMel_1.0	Beijing Genomics Institute, Shenzhen	GCF_000004335.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/335/GCA_000004335.1_AilMel_1.0		
GCA_002007445.1	PRJNA299083	SAMN04193337	LNAT00000000.1	na	9646	9646	Ailuropoda melanoleuca		Jingjing	latest	Scaffold	Major	Full	28/02/2017	ASM200744v1	Institute of Zoology, Chinese Academy of Sciences	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/007/445/GCA_002007445.1_ASM200744v1		
GCA_002007465.1	PRJNA298932	SAMN04169031	LNAC00000000.1	representative genome	424585	9649	Ailurus fulgens styani		RP43	latest	Scaffold	Major	Full	28/02/2017	ASM200746v1	Institute of Zoology, Chinese Academy of Sciences	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/007/465/GCA_002007465.1_ASM200746v1		
GCA_000215625.1	PRJNA59869	SAMN00149631	AEYP00000000.1	representative genome	9669	9668	Mustela putorius furo	breed=Sable	ID#1420	latest	Scaffold	Major	Full	02/06/2011	MusPutFur1.0	Ferret Genome Sequencing Consortium	GCF_000215625.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/215/625/GCA_000215625.1_MusPutFur1.0		
GCA_000239315.1	PRJNA78213	SAMN00761641	AGTQ00000000.1	na	9669	9668	Mustela putorius furo	breed=Sable	ID#4666	latest	Scaffold	Major	Full	21/12/2011	MusPutFurMale1.0	Broad Institute	GCF_000239315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/239/315/GCA_000239315.1_MusPutFurMale1.0		
GCA_000003115.1	PRJNA32759	SAMN03000705	ACBE00000000.1	na	9685	9685	Felis catus	breed=mixed		latest	Chromosome	Major	Full	16/03/2009	catChrV17e	NHGRI/Genome Technology Branch	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/115/GCA_000003115.1_catChrV17e		
GCA_000181335.4	PRJNA16726	SAMN02953640	AANG00000000.4	representative genome	9685	9685	Felis catus	breed=Abyssinian	Cinnamon	latest	Chromosome	Major	Full	20/11/2017	Felis_catus_9.0	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCF_000181335.3	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/335/GCA_000181335.4_Felis_catus_9.0		
GCA_001857705.1	PRJNA306701	SAMN04347630	LQGZ00000000.1	representative genome	9691	9691	Panthera pardus		Maewha	latest	Scaffold	Major	Full	16/11/2016	PanPar1.0	Ulsan National Institute of Science and Technology	GCF_001857705.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/857/705/GCA_001857705.1_PanPar1.0		
GCA_000464555.1	PRJNA182708	SAMN02086964	ATCQ00000000.1	representative genome	74533	9694	Panthera tigris altaica		TaeGuk	latest	Scaffold	Major	Full	06/09/2013	PanTig1.0	Personal Genomics Institute	GCF_000464555.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/464/555/GCA_000464555.1_PanTig1.0		
GCA_000321225.1	PRJNA167474	SAMN01180787	ANOP00000000.1	representative genome	9708	9707	Odobenus rosmarus divergens		Ivan	latest	Scaffold	Major	Full	16/01/2013	Oros_1.0	Marine mammals	GCF_000321225.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/321/225/GCA_000321225.1_Oros_1.0		
GCA_000349705.1	PRJNA68235	SAMN00672463	APMU00000000.1	representative genome	9713	9713	Leptonychotes weddellii		WS11-02	latest	Scaffold	Major	Full	29/03/2013	LepWed1.0	Broad Institute	GCF_000349705.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/349/705/GCA_000349705.1_LepWed1.0		
GCA_000331955.2	PRJNA167475	SAMN01180276	ANOL00000000.2	representative genome	9733	9733	Orcinus orca		Morgan	latest	Scaffold	Major	Full	31/01/2013	Oorc_1.1	Marine mammals	GCF_000331955.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/331/955/GCA_000331955.2_Oorc_1.1		
GCA_000151865.3	PRJNA20367	SAMN00000070	ABRN00000000.2	na	9739	9739	Tursiops truncatus			latest	Scaffold	Minor	Full	02/01/2012	Ttru_1.4	Baylor College of Medicine	GCF_000151865.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/865/GCA_000151865.3_Ttru_1.4		
GCA_001922835.1	PRJNA356464	SAMN06114300	MRVK00000000.1	representative genome	9739	9739	Tursiops truncatus		MMES2002162SC	latest	Scaffold	Major	Full	28/12/2016	NIST Tur_tru v1	National Institute of Standards and Technology	GCF_001922835.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/922/835/GCA_001922835.1_NIST_Tur_tru_v1		
GCA_002288925.2	PRJNA360851	SAMN06216270	NQVZ00000000.1	representative genome	9749	9749	Delphinapterus leucas		GAN/ISIS: 26980492/103006	latest	Scaffold	Major	Full	11/09/2017	ASM228892v2	BC Cancer Agency	GCF_002288925.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/288/925/GCA_002288925.2_ASM228892v2		
GCA_000472045.1	PRJNA89089	SAMN02953869	AWZP00000000.1	na	9755	9755	Physeter catodon			latest	Scaffold	Major	Full	30/09/2013	Physeter_macrocephalus-2.0.2	Aquatic Genome Models 	GCF_000472045.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/472/045/GCA_000472045.1_Physeter_macrocephalus-2.0.2		
GCA_002837175.1	PRJNA411766	SAMN07836523	PGGR00000000.1	representative genome	9755	9755	Physeter catodon		SW-GA	latest	Scaffold	Major	Full	12/12/2017	ASM283717v1	BGI	GCF_002837175.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/837/175/GCA_002837175.1_ASM283717v1		
GCA_002189225.1	PRJNA384396	SAMN06837692	NIPP00000000.1	representative genome	9764	9764	Eschrichtius robustus		ER-14-168	latest	Scaffold	Major	Full	09/06/2017	ASM218922v1	Purdue University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/189/225/GCA_002189225.1_ASM218922v1		
GCA_002738545.1	PRJNA391859	SAMN07276959	NTJE000000000.1	na	9764	9764	Eschrichtius robustus		AM-GW-M-EMB-4M-20130531	latest	Scaffold	Major	Full	31/10/2017	EschrichtiusRobustus1.0	Laboratory of postgenomic studies, Engelhardt Institute of Molecular Biology, Russian Academy of Sciences	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/738/545/GCA_002738545.1_EschrichtiusRobustus1.0		
GCA_000493695.1	PRJNA72723	SAMN02192642	ATDI00000000.1	representative genome	310752	9767	Balaenoptera acutorostrata scammoni			latest	Scaffold	Major	Full	31/10/2013	BalAcu1.0	Korea Ocean Research & Development Institute	GCF_000493695.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/493/695/GCA_000493695.1_BalAcu1.0		
GCA_000243295.1	PRJNA68243	SAMN00632092	AHIN00000000.1	representative genome	127582	9778	Trichechus manatus latirostris		Lorelei	latest	Scaffold	Major	Full	23/01/2012	TriManLat1.0	Broad Institute	GCF_000243295.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/243/295/GCA_000243295.1_TriManLat1.0		
GCA_000001905.1	PRJNA12569	SAMN02953622	AAGU00000000.3	representative genome	9785	9785	Loxodonta africana		ISIS603380	latest	Scaffold	Major	Full	15/07/2009	Loxafr3.0	Broad Institute	GCF_000001905.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/905/GCA_000001905.1_Loxafr3.0		
GCA_001305755.1	PRJNA259598	SAMN03010633	JREZ00000000.1	representative genome	9793	9793	Equus asinus	breed=Guanzhong donkey	Maral har	latest	Scaffold	Major	Full	02/10/2015	ASM130575v1	Inner Mongolian Agricultural University	GCF_001305755.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/305/755/GCA_001305755.1_ASM130575v1		
GCA_000002305.1	PRJNA18661	SAMN02953672	AAWR00000000.2	na	9796	9796	Equus caballus	breed=thoroughbred	Twilight	latest	Chromosome	Major	Full	29/10/2007	EquCab2.0	The Genome Assembly Team	GCF_000002305.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/305/GCA_000002305.1_EquCab2.0		
GCA_000696655.1	PRJNA200654	SAMN02808397	ATDM00000000.1	na	9796	9796	Equus caballus	breed=Mongolian	Ajinai	latest	Scaffold	Major	Full	06/06/2014	Ajinai1.0	College of Animal Science, Inner Mongolian Agricultural University, China	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/696/655/GCA_000696655.1_Ajinai1.0		
GCA_002166905.1	PRJNA353919	SAMN06017257	MPVR00000000.1	na	9796	9796	Equus caballus	breed=Lipizzan		latest	Scaffold	Major	Partial	05/06/2017	ASM216690v1	Institute of Animal Breeding and Genetics - Vetmeduni Vienna	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/166/905/GCA_002166905.1_ASM216690v1		
