#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Hippocampus comes	109280	PRJNA359802	359802	Animals	Fishes	493.776	43.6998	GCA_001891065.1	mitochondrion MT:NC_020336.1/JX970973.1	LVHJ01	37377	25471	41965	2016/12/08	2016/12/08	Scaffold	NCBI	SAMN04531611
Fukomys damarensis	885580	PRJNA268209	268209	Animals	Mammals	2333.89	40.5	GCA_000743615.1	-	AYUG01	74730	29892	43907	2014/08/22	2014/09/04	Scaffold	NCBI	SAMN02339281
Xiphophorus couchianus	32473	PRJNA290781	290781	Animals	Fishes	708.396	40.9	GCA_001444195.1	-	LNCC01	25	-	-	2015/11/13	2015/11/17	Scaffold	McDonnell Genome Institute - Washington University School of Medicine	SAMN03922721
Lethenteron camtschaticum	980415	PRJNA237018	237018	Animals	Fishes	1030.66	48.1	GCA_000466285.1	-	APJL01	86125	-	-	2013/09/10	2014/08/11	Scaffold	NCBI	SAMN02981514
Ursus maritimus	29073	PRJNA254163	254163	Animals	Mammals	2301.38	41.7	GCA_000687225.1	mitochondrion MT:NC_003428.1/AF303111.1	AVOR01	23819	26982	28887	2014/05/08	2014/05/09	Scaffold	NCBI	SAMN02729226
Grus japonensis	30415	PRJDB4708	327648	Animals	Birds	1265.63	41.6	GCA_002002985.1	-	BDFG01	357545	-	-	2016/07/01	2016/07/01	Scaffold	Laboratory of Ecogenetics, Environmental Biology Division, National Institute for Environmental Studies	SAMD00050840
Balearica regulorum gibbericeps	100784	PRJNA264996	264996	Animals	Birds	1127.62	41.2001	GCA_000709895.1	mitochondrion MT:NC_020569.1/FJ769841.1	JJRR01	53491	15122	16163	2014/06/02	2016/11/17	Scaffold	NCBI	SAMN02318095
Capreolus capreolus	9858	PRJEB4372	213099	Animals	Mammals	2785.38	41.8	GCA_000751575.1	-	CCMK01	3088511	-	-	2014/09/05	2014/09/05	Scaffold	UNIMELB	SAMEA2531521
Poecilia latipinna	48699	PRJNA305623	305623	Animals	Fishes	815.145	40.8	GCA_001443285.1	-	LMXD01	17988	30571	47072	2015/11/12	2015/11/13	Scaffold	NCBI	SAMN02048973
Pygoscelis adeliae	9238	PRJNA261076	261076	Animals	Birds	1216.62	41.8001	GCA_000699105.1	mitochondrion MT:NC_021137.1/KC875855.1	JMFP01	19265	14407	16927	2014/05/07	2016/11/17	Scaffold	NCBI	SAMN02596601
Protobothrops mucrosquamatus	103944	PRJDB4386	304719	Animals	Reptiles	1673.88	40.6	GCA_001527695.3	mitochondrion MT:NC_021412.1/KC438281.1	BCNE02	52280	21073	22660	2016/01/14	2016/07/29	Scaffold	Okinawa Institute of Science and Technology	SAMD00043515
Myotis brandtii	109478	PRJNA218631	218631	Animals	Mammals	2107.24	42.9	GCA_000412655.1	-	ANKR01	169750	28478	40808	2013/06/19	2015/02/09	Scaffold	NCBI	SAMN01801565
Alligator sinensis	38654	PRJNA221633	221633	Animals	Reptiles	2270.57	44.6	GCA_000455745.1	mitochondrion MT:NC_004448.1/AF511507.1	AVPB01	9317	22098	28309	2013/08/27	2014/08/11	Scaffold	NCBI	SAMN02981559
Rana catesbeiana	8400	PRJNA285814	285814	Animals	Amphibians	5233.23	43.1	GCA_002284835.1	-	LIAG01	2082530	-	-	2017/01/18	2017/09/01	Contig	BC Cancer Agency	SAMN03760860
Phascolarctos cinereus	38626	PRJNA384067	384067	Animals	Mammals	3192.58	39.1	GCA_002099425.1	mitochondrion MT:NC_008133.1/AB241053.1	MSTS01	1907	31659	46908	2017/04/18	2017/04/18	Contig	NCBI	SAMN06198159
Pampus argenteus	206143	PRJNA240272	240272	Animals	Fishes	350.449	38.2	GCA_000697985.1	-	JHEK01	298139	-	-	2014/06/03	2016/06/03	Scaffold	Kuwait Institute for Scientific Research (KISR)	SAMN02699082
Meriones unguiculatus	10047	PRJNA391923	391923	Animals	Mammals	2523.12	42.5	GCA_002204375.1	mitochondrion MT:NC_023263.1/KF425526.1	NHTI01	68793	25856	38763	2017/06/21	2017/06/21	Scaffold	NCBI	SAMN06897401
Monopterus albus	43700	PRJNA380265	380265	Animals	Fishes	684.144	41.5001	GCA_001952655.1	mitochondrion MT:NC_003192.1/AP002945.1	AONE01	20622	23830	40334	2017/01/13	2017/01/17	Scaffold	NCBI	SAMN06219872
Anguilla rostrata	7938	PRJNA285069	285069	Animals	Fishes	1413.03	41	GCA_001606085.1	mitochondrion MT:CM003870.1	LTYT01	79209	-	-	2016/04/01	2016/04/04	Scaffold	Universite Laval	SAMN03737505
Propithecus coquereli	379532	PRJNA281642	281642	Animals	Mammals	2798.15	43.2	GCA_000956105.1	mitochondrion MT:NC_011053.1/AB286049.1	JZKE01	22539	22836	28194	2015/03/17	2015/03/23	Scaffold	NCBI	SAMN03121823
Eidolon helvum	77214	PRJNA209406	209406	Animals	Mammals	1837.75	39.2	GCA_000465285.1	-	AWHC01	133538	-	-	2013/09/05	2013/09/13	Scaffold	School of Biological & Chemical Sciences, Queen Mary University of London	SAMN02212690
Megaderma lyra	9413	PRJNA209407	209407	Animals	Mammals	1735.93	40.3	GCA_000465345.1	-	AWHB01	192872	-	-	2013/09/05	2013/09/14	Scaffold	School of Biological & Chemical Sciences, Queen Mary University of London	SAMN02212695
Rhincodon typus	259920	PRJNA378405	378405	Animals	Fishes	2931.6	41.8	GCA_001642345.2	mitochondrion MT:NC_023455.1/KF679782.1	LVEK02	57334	24529	27896	2016/05/11	2017/03/03	Scaffold	NCBI	SAMN04562461
Maccullochella peelii	135761	PRJNA290988	290988	Animals	Fishes	633.241	-	GCA_002120245.1	-	LKNJ01	18198	-	-	2017/05/09	2017/05/09	Scaffold	Monash University Malaysia	SAMN03938494
Trichechus manatus latirostris	127582	PRJNA68243	68243	Animals	Mammals	3103.81	41.6	GCA_000243295.1	mitochondrion MT:NC_010302.1/AM904728.1	AHIN01	6323	22652	26315	2012/01/20	2015/04/20	Scaffold	Broad Institute	SAMN00632092
Ceratotherium simum simum	73337	PRJNA74583	74583	Animals	Mammals	2464.37	41.2	GCA_000283155.1	mitochondrion MT:NC_001808.1/Y07726.1	AKZM01	3087	25570	33629	2012/07/30	2013/11/01	Scaffold	Broad Institute	SAMN00778988
Anser cygnoides domesticus	381198	PRJNA290577	290577	Animals	Birds	1119.15	41.5001	GCA_000971095.1	mitochondrion MT:NC_023832.1/KJ124555.1	AOGC01	7593	20800	31811	2015/04/08	2015/05/07	Scaffold	NCBI	SAMN01830643
Egretta garzetta	188379	PRJNA253831	253831	Animals	Birds	1206.5	42.5	GCA_000687185.1	mitochondrion MT:NC_023981.1/KJ192197.1	JJRC01	11791	14431	15934	2014/04/29	2016/11/17	Scaffold	NCBI	SAMN02596466
Equus przewalskii	9798	PRJNA253941	253941	Animals	Mammals	2395.95	41.3	GCA_000696695.1	mitochondrion MT:NC_024030.1/AP013094.1	ATBW01	53097	26953	38416	2014/05/30	2014/06/05	Scaffold	NCBI	SAMN02808398
Tyto alba	56313	PRJNA263629	263629	Animals	Birds	1120.14	40.2	GCA_000687205.1	-	JJRD01	62122	13995	14896	2014/04/30	2016/11/17	Scaffold	NCBI	SAMN02339894
Phaethon lepturus	97097	PRJNA265998	265998	Animals	Birds	1152.96	41.5	GCA_000687285.1	-	JJRF01	66785	15174	16216	2014/04/30	2016/11/17	Scaffold	NCBI	SAMN02339888
Cavia aperea	37548	PRJNA212237	212237	Animals	Mammals	2716.4	42.2	GCA_000688575.1	-	AVPZ01	3131	-	-	2014/01/21	2014/01/23	Scaffold	Leibniz Institute for Zoo and Wildlife research	SAMN02252454
Pelecanus crispus	36300	PRJNA253833	253833	Animals	Birds	1160.92	41.4	GCA_000687375.1	-	JJRG01	63982	15382	16298	2014/05/01	2016/11/17	Scaffold	NCBI	SAMN02339887
Cariama cristata	54380	PRJNA263623	263623	Animals	Birds	1132.25	41.2	GCA_000690535.1	-	JJRQ01	53474	15124	16125	2014/05/05	2016/11/17	Scaffold	NCBI	SAMN02318733
Colius striatus	57412	PRJNA265879	265879	Animals	Birds	1075.93	40.9	GCA_000690715.1	-	JJRP01	70188	15009	15797	2014/05/05	2016/11/17	Scaffold	NCBI	SAMN02324230
Eurypyga helias	54383	PRJNA265393	265393	Animals	Birds	1088.02	42.3	GCA_000690775.1	-	JJRO01	62699	14812	15656	2014/05/05	2016/11/17	Scaffold	NCBI	SAMN02324546
Fulmarus glacialis	30455	PRJNA261828	261828	Animals	Birds	1141.4	41.2	GCA_000690835.1	-	JJRN01	57389	15228	16240	2014/05/03	2016/11/17	Scaffold	NCBI	SAMN02324803
Haliaeetus albicilla	8969	PRJNA263514	263514	Animals	Birds	1133.55	40.9	GCA_000691405.1	-	JJRL01	50905	15162	19224	2014/05/02	2016/11/17	Scaffold	NCBI	SAMN02333670
Merops nubicus	57421	PRJNA253837	253837	Animals	Birds	1062.96	41.7	GCA_000691845.1	-	JJRJ01	53499	14658	15431	2014/05/01	2016/11/17	Scaffold	NCBI	SAMN02338310
Opisthocomus hoazin	30419	PRJNA263612	263612	Animals	Birds	1203.71	42.7	GCA_000692075.1	-	JMFL01	10256	13615	14878	2014/05/13	2016/11/17	Scaffold	NCBI	SAMN02302474
Leptosomus discolor	188344	PRJNA263616	263616	Animals	Birds	1136.24	41.8	GCA_000691785.1	-	JJRK01	57160	15300	16371	2014/05/02	2016/11/17	Scaffold	NCBI	SAMN02333687
Acanthisitta chloris	57068	PRJNA253841	253841	Animals	Birds	1035.88	41.6	GCA_000695815.1	-	JJRS01	53875	15175	16077	2014/05/06	2016/11/17	Scaffold	NCBI	SAMN02318032
Mesitornis unicolor	54374	PRJNA265381	265381	Animals	Birds	1087.29	41.3	GCA_000695765.1	-	JJRI01	67520	15719	16646	2014/05/01	2016/11/17	Scaffold	NCBI	SAMN02339298
Corvus brachyrhynchos	85066	PRJNA253849	253849	Animals	Birds	1091.31	42	GCA_000691975.1	-	JMFN01	10547	19146	29421	2014/05/13	2016/11/17	Scaffold	NCBI	SAMN02297499
Picoides pubescens	118200	PRJNA263502	263502	Animals	Birds	1167.32	44.6	GCA_000699005.1	-	JJRU01	31254	14443	15826	2014/05/06	2016/11/17	Scaffold	NCBI	SAMN02314405
Pterocles gutturalis	240206	PRJNA265368	265368	Animals	Birds	1069.32	41.4	GCA_000699245.1	-	JMFR01	58607	14969	15872	2014/05/07	2016/11/17	Scaffold	NCBI	SAMN02339892
Antrostomus carolinensis	279965	PRJNA265383	265383	Animals	Birds	1119.68	40.8	GCA_000700745.1	-	JMFU01	70122	15541	16463	2014/05/08	2016/11/17	Scaffold	NCBI	SAMN02318612
Aptenodytes forsteri	9233	PRJNA261081	261081	Animals	Birds	1254.35	42	GCA_000699145.1	-	JMFQ01	10672	15366	19104	2014/05/07	2016/11/17	Scaffold	NCBI	SAMN02596600
Charadrius vociferus	50402	PRJNA263452	263452	Animals	Birds	1219.86	42	GCA_000708025.2	-	JMFX02	15167	14731	16428	2014/05/09	2016/11/17	Scaffold	NCBI	SAMN02296710
Apaloderma vittatum	57397	PRJNA263608	263608	Animals	Birds	1070.84	41.4	GCA_000703405.1	-	JMFV01	54728	14490	15288	2014/05/08	2016/11/17	Scaffold	NCBI	SAMN02318033
Cuculus canorus	55661	PRJNA263299	263299	Animals	Birds	1153.89	41.7	GCA_000709325.1	-	JNOX01	14930	15045	16796	2014/06/12	2016/11/17	Scaffold	NCBI	SAMN02298149
Phalacrocorax carbo	9209	PRJNA261839	261839	Animals	Birds	1138.97	41.3	GCA_000708925.1	-	JMFI01	64312	14501	15339	2014/05/12	2016/11/17	Scaffold	NCBI	SAMN02339889
Tauraco erythrolophus	121530	PRJNA265115	265115	Animals	Birds	1155.54	41.6	GCA_000709365.1	-	JNOY01	59587	15059	16054	2014/06/12	2016/11/17	Scaffold	NCBI	SAMN02339893
Tinamus guttatus	94827	PRJNA265201	265201	Animals	Birds	1047.06	41.5	GCA_000705375.2	-	JMFW02	82514	16739	17873	2014/05/08	2016/11/17	Scaffold	NCBI	SAMN02316659
Buceros rhinoceros silvestris	175836	PRJNA266010	266010	Animals	Birds	1065.78	42.6	GCA_000710305.1	-	JMFK01	62257	14483	15510	2014/06/02	2016/11/17	Scaffold	NCBI	SAMN02318191
Haliaeetus leucocephalus	52644	PRJNA269279	269279	Animals	Birds	1178.41	41.8	GCA_000737465.1	-	JPRR01	1023	15817	25265	2014/08/04	2014/08/04	Scaffold	NCBI	SAMN02664716
Nestor notabilis	176057	PRJNA264990	264990	Animals	Birds	1053.56	41.1	GCA_000696875.1	-	JJRH01	42180	14860	15873	2014/05/01	2016/11/17	Scaffold	NCBI	SAMN02339299
Chaetura pelagica	8897	PRJNA264987	264987	Animals	Birds	1119.19	41.6	GCA_000747805.1	-	AVOS01	19072	14343	15942	2014/09/04	2016/11/17	Scaffold	NCBI	SAMN03018471
Mus caroli	10089	PRJEB14895	360714	Animals	Mammals	2553.13	42.6193	GCA_900094665.2	chromosome 1:NC_034570.1/LT608242.1; chromosome 2:NC_034571.1/LT608244.1; chromosome 3:NC_034572.1/LT608232.1; chromosome 4:NC_034573.1/LT608246.1; chromosome 5:NC_034574.1/LT608240.1; chromosome 6:NC_034575.1/LT608245.1; chromosome 7:NC_034576.1/LT608243.1; chromosome 8:NC_034577.1/LT608237.1; chromosome 9:NC_034578.1/LT608231.1; chromosome 10:NC_034579.1/LT608233.1; chromosome 11:NC_034580.1/LT608241.1; chromosome 12:NC_034581.1/LT608234.1; chromosome 13:NC_034582.1/LT608247.1; chromosome 14:NC_034583.1/LT608238.1; chromosome 15:NC_034584.1/LT608239.1; chromosome 16:NC_034585.1/LT608236.1; chromosome 17:NC_034586.1/LT608229.1; chromosome 18:NC_034587.1/LT608235.1; chromosome 19:NC_034588.1/LT608248.1; chromosome X:NC_034589.1/LT608230.1; mitochondrion MT:NC_025268.1/KJ530558.1	FMAL02	3163	28755	37588	2017/01/10	2017/04/26	Chromosome	EBI	SAMEA3367631
Chlamydotis macqueenii	187382	PRJNA266006	266006	Animals	Birds	1086.57	41.1	GCA_000695195.1	-	JMFJ01	59693	14765	15683	2014/05/12	2016/11/17	Scaffold	NCBI	SAMN02324157
Cyprinodon nevadensis pectoralis	69242	PRJNA254053	254053	Animals	Fishes	1011.85	39	GCA_000776015.1	-	JSUU01	96516	-	-	2014/11/13	2014/11/13	Scaffold	University of Colorado, Boulder	SAMN03072616
Periophthalmus magnuspinnatus	409849	PRJNA232435	232435	Animals	Fishes	701.697	40	GCA_000787105.1	-	JACL01	26060	-	-	2014/11/25	2014/12/03	Scaffold	BGI-shenzhen	SAMN03201694
Periophthalmodon schlosseri	1365757	PRJNA232436	232436	Animals	Fishes	679.761	40.2	GCA_000787095.1	-	JACM01	46662	-	-	2014/11/25	2014/12/03	Scaffold	BGI-Shenzhen	SAMN03201695
Pseudopleuronectes yokohamae	245875	PRJDB3259	268070	Animals	Fishes	547.831	42	GCA_000787555.1	-	BBOV01	525502	-	-	2014/11/21	2015/08/25	Contig	Tohoku university	SAMD00021058
Nanorana parkeri	125878	PRJNA344660	344660	Animals	Amphibians	2053.87	42.7	GCA_000935625.1	mitochondrion MT:NC_026789.1/KP317482.1	JYOU01	25188	21171	24758	2015/03/02	2015/03/02	Scaffold	NCBI	SAMN02720813
Marmota marmota marmota	9994	PRJEB8272	274843	Animals	Mammals	2510.59	40.2	GCA_001458135.1	-	CZRN01	14543	27711	31750	2015/11/06	2015/11/06	Scaffold	MRC NATIONAL INSTITUTE FOR MEDICAL RESEARCH	SAMEA3214822
Mandrillus leucophaeus	9568	PRJNA279492	279492	Animals	Mammals	3061.99	41.6	GCA_000951045.1	-	JYKQ01	12821	27823	38336	2015/03/11	2015/03/12	Scaffold	NCBI	SAMN03121813
Colobus angolensis palliatus	336983	PRJNA279495	279495	Animals	Mammals	2970.12	41.6	GCA_000951035.1	-	JYKR01	13124	27816	38656	2015/03/11	2015/03/12	Scaffold	NCBI	SAMN03121814
Manis javanica	9974	PRJNA335369	335369	Animals	Mammals	2547.4	41.5	GCA_001685135.1	mitochondrion MT:NC_026781.1/KP306515.1	JSZB01	80670	25268	41843	2016/07/14	2016/07/14	Scaffold	NCBI	SAMN02935387
Sinocyclocheilus anshuiensis	1608454	PRJNA316320	316320	Animals	Fishes	1632.72	38.0001	GCA_001515605.1	mitochondrion MT:NC_027169.1/KR069120.1	LAVE01	85682	50985	68474	2015/12/14	2016/01/04	Scaffold	NCBI	SAMN03320099
Sinocyclocheilus rhinocerous	307959	PRJNA316320	316320	Animals	Fishes	1655.79	38.1	GCA_001515625.1	mitochondrion MT:NC_027168.1/KR069119.1	LAVF01	164173	52111	68562	2015/12/14	2016/01/04	Scaffold	NCBI	SAMN03320098
Spermophilus dauricus	99837	PRJNA215874	215874	Animals	Mammals	3106.27	40.2	GCA_002406435.1	-	AXRT01	360804	-	-	2017/09/28	2017/10/03	Scaffold	BGI-shenzhen	SAMN07711139
Sebastes minor	214483	PRJNA236304	236304	Animals	Fishes	681.653	40.8	GCA_001910765.1	-	LHCJ01	166448	-	-	2016/12/20	2016/12/21	Scaffold	USC	SAMN03354192
Sebastes steindachneri	201708	PRJNA236323	236323	Animals	Fishes	648.011	40.7	GCA_001910785.1	-	LCWK01	279232	-	-	2016/12/20	2016/12/21	Scaffold	USC	SAMN03579458
Eulemur macaco	30602	PRJNA284191	284191	Animals	Mammals	2119.88	38.3	GCA_001262655.1	-	LGHX01	26772	-	-	2015/08/06	2015/09/02	Scaffold	University of Chicago	SAMN03699689
Eulemur flavifrons	87288	PRJNA284191	284191	Animals	Mammals	2115.57	40.5	GCA_001262665.1	-	LGHW01	38367	-	-	2015/08/06	2015/09/02	Scaffold	University of Chicago	SAMN03699688
Zosterops lateralis melanops	1220523	PRJNA277310	277310	Animals	Birds	1036	41.3	GCA_001281735.1	-	LAII01	2933	-	-	2015/09/14	2015/09/14	Scaffold	Imperial College London	SAMN03389315
Pantherophis guttatus	94885	PRJNA268069	268069	Animals	Reptiles	1404.22	38.3	GCA_001185365.1	-	JTLQ01	883920	-	-	2015/07/21	2015/07/21	Scaffold	University of Geneva	SAMN03202658
Apodemus sylvaticus	10129	PRJNA290427	290427	Animals	Mammals	3758.14	22.6	GCA_001305905.1	-	LIPJ01	559629	-	-	2015/10/02	2015/10/02	Scaffold	University of Liverpool	SAMN03863808
Microtus agrestis	29092	PRJNA290426	290426	Animals	Mammals	3124.14	26.4	GCA_001305995.1	-	LIQJ01	230202	-	-	2015/10/02	2015/10/02	Scaffold	University of Liverpool	SAMN03863806
Gekko japonicus	146911	PRJNA308133	308133	Animals	Reptiles	2490.27	45.5	GCA_001447785.1	mitochondrion MT:NC_028035.1/KR996131.1	LNDG01	191500	21426	24464	2015/11/24	2015/11/25	Scaffold	NCBI	SAMN04157958
Amazona aestiva	12930	PRJNA294082	294082	Animals	Birds	1129.54	42.2	GCA_001420675.1	-	LMAW01	3232	16307	16144	2015/10/30	2015/10/30	Scaffold	LNCC	SAMN04014659
Sturnus vulgaris	9172	PRJNA304638	304638	Animals	Birds	1036.76	41.7	GCA_001447265.1	-	LNCF01	2361	16813	26611	2015/11/20	2015/11/20	Scaffold	NCBI	SAMN04029017
Cottus rhenanus	446433	PRJNA297779	297779	Animals	Fishes	563.609	36.8	GCA_001455555.1	-	LKTN01	164693	-	-	2015/12/02	2015/12/02	Scaffold	Cold Spring Harbor Laboratory	SAMN04145896
Lonchura striata domestica	299123	PRJNA391487	391487	Animals	Birds	1060.17	41.8001	GCA_002197715.1	mitochondrion MT:NC_029475.1/KR080134.1	MUZQ01	3014	17483	31410	2017/06/19	2017/06/19	Scaffold	NCBI	SAMN06283872
Callipepla squamata	9009	PRJNA301734	301734	Animals	Birds	1045.28	40.6	GCA_002218305.1	-	MCFN01	34302	17131	17131	2017/07/13	2017/07/20	Scaffold	Texas A&M University	SAMN04255336
Miniopterus natalensis	291302	PRJNA317472	317472	Animals	Mammals	1803.1	42.4	GCA_001595765.1	-	LDJU01	1269	22891	29787	2016/03/22	2016/03/22	Scaffold	NCBI	SAMN03652541
Nannopterum brasilianus	37046	PRJNA327123	327123	Animals	Birds	1346.19	42.2	GCA_002174335.1	-	NFME01	266364	-	-	2017/06/06	2017/06/06	Scaffold	UCLA	SAMN06832916
Lepidothrix coronata	321398	PRJNA338288	338288	Animals	Birds	1079.58	41.9	GCA_001604755.1	-	LVWP01	4612	18695	36671	2016/03/31	2016/03/31	Scaffold	NCBI	SAMN04274560
Cebus capucinus imitator	1737458	PRJNA328123	328123	Animals	Mammals	2717.7	41	GCA_001604975.1	-	LVWQ01	7156	36983	53175	2016/03/31	2016/04/04	Scaffold	NCBI	SAMN04522148
Phylloscopus plumbeitarsus	56441	PRJNA314915	314915	Animals	Birds	997.399	41.5	GCA_001655115.1	-	LXOY01	308480	-	-	2016/06/02	2016/06/02	Scaffold	University of British Columbia	SAMN04545452
Carlito syrichta	1868482	PRJNA20339	20339	Animals	Mammals	3453.86	41	GCA_000164805.2	mitochondrion MT:NC_012774.1/AB371090.1	ABRT02	337189	25660	33081	2013/09/10	2014/08/04	Scaffold	Washington University (WashU)	SAMN02445010
Ellobius talpinus	329620	PRJNA305123	305123	Animals	Mammals	2265.97	41.3	GCA_001685095.1	-	LOJH01	350460	-	-	2016/07/14	2016/07/14	Scaffold	Erasmus medical center (ErasmusMC)	SAMN04317029
Malaclemys terrapin terrapin	391341	PRJNA339452	339452	Animals	Reptiles	2439.75	44.5	GCA_001728815.2	mitochondrion MT:NC_031300.1/KX774423.1	MDXI01	21684	13	13	2016/09/15	2016/09/15	Contig	University of Maryland	SAMN05591378
Setophaga coronata coronata	1037456	PRJNA325157	325157	Animals	Birds	1171.93	37.3	GCA_001746935.1	-	MDLI01	154686	-	-	2016/09/27	2016/09/27	Scaffold	Cornell University	SAMN05224218
Tympanuchus cupido pinnatus	211916	PRJNA330991	330991	Animals	Birds	983.777	-	GCA_001870855.1	-	MOXI01	12186	-	-	2016/11/07	2016/11/07	Scaffold	Revive & Restore Heath Hen De-extinction Team	SAMN05433571
Rhinolophus sinicus	89399	PRJNA358073	358073	Animals	Mammals	2073.34	40.8	GCA_001888835.1	-	LVEH01	63439	27500	47594	2016/12/04	2016/12/04	Scaffold	NCBI	SAMN04038064
Patagioenas fasciata monilis	372326	PRJNA308039	308039	Animals	Birds	1089.15	40.9	GCA_002029285.1	-	LSYS01	9784	19528	24805	2017/03/15	2017/03/15	Scaffold	University of California, Santa Cruz	SAMN04386172
Mus pahari	10093	PRJEB14896	360715	Animals	Mammals	2475.01	42.6694	GCA_900095145.2	chromosome 1:NC_034590.1/LT608296.1; chromosome 2:NC_034591.1/LT608286.1; chromosome 3:NC_034592.1/LT608290.1; chromosome 4:NC_034593.1/LT608287.1; chromosome 5:NC_034594.1/LT608292.1; chromosome 6:NC_034595.1/LT608307.1; chromosome 7:NC_034596.1/LT608288.1; chromosome 8:NC_034597.1/LT608301.1; chromosome 9:NC_034598.1/LT608291.1; chromosome 10:NC_034599.1/LT608289.1; chromosome 11:NC_034600.1/LT608304.1; chromosome 12:NC_034601.1/LT608305.1; chromosome 13:NC_034602.1/LT608299.1; chromosome 14:NC_034603.1/LT608308.1; chromosome 15:NC_034604.1/LT608295.1; chromosome 16:NC_034605.1/LT608294.1; chromosome 17:NC_034606.1/LT608298.1; chromosome 18:NC_034607.1/LT608302.1; chromosome 19:NC_034608.1/LT608297.1; chromosome 20:NC_034609.1/LT608293.1; chromosome 21:NC_034610.1/LT608306.1; chromosome 22:NC_034611.1/LT608303.1; chromosome 23:NC_034612.1/LT608309.1; chromosome X:NC_034613.1/LT608300.1	FMBV02	2581	26179	36170	2017/01/10	2017/04/26	Chromosome	EBI	SAMEA3367645
Sporophila hypoxantha	256693	PRJNA382416	382416	Animals	Birds	1067.76	40.6	GCA_002167245.1	-	NDFG01	5095	-	-	2017/06/05	2017/06/05	Scaffold	Cornell University	SAMN06754710
Nannopterum harrisi	473964	PRJNA327123	327123	Animals	Birds	1202.99	42.1	GCA_002173475.1	-	NEVG01	2651	-	-	2017/06/06	2017/06/06	Scaffold	UCLA	SAMN05301669
Nannopterum auritus	56069	PRJNA327123	327123	Animals	Birds	1246.05	42.1	GCA_002173455.1	-	NFMC01	27523	-	-	2017/06/06	2017/06/06	Scaffold	UCLA	SAMN06226698
Psammomys obesus	48139	PRJNA355058	355058	Animals	Mammals	2311.47	42	GCA_002215935.1	-	NESX01	96427	-	-	2017/07/07	2017/07/07	Contig	Department of Zoology, University of Oxford, UK	SAMN06061930
Anas zonorhyncha	75864	PRJNA392350	392350	Animals	Birds	1310.8	-	GCA_002224875.1	-	NOIK01	20089	-	-	2017/07/25	2017/07/25	Scaffold	BGI	SAMN07337763
Crotalus pyrrhus	384069	PRJNA255393	255393	Animals	Reptiles	1126.79	38.5	GCA_000737285.1	-	JPMF01	473380	-	-	2014/08/01	2014/11/12	Scaffold	Reed College	SAMN02918464
Uria lomvia	28711	PRJNA395774	395774	Animals	Birds	1179.36	41.5	GCA_002289315.1	-	NOXD01	9327	-	-	2017/09/11	2017/09/12	Scaffold	Queen's University	SAMN07414775
Apodemus speciosus	105296	PRJDB5914	396846	Animals	Mammals	3494.29	24.2	GCA_002335545.1	-	BDUI01	336124	-	-	2017/08/01	2017/08/01	Scaffold	University of the Ryukyus	SAMD00084465
Strix occidentalis caurina	311401	PRJNA338167	338167	Animals	Birds	1255.54	-	GCA_002372975.1	-	NIFN01	8108	-	-	2017/09/26	2017/09/26	Scaffold	California Academy of Sciences	SAMN05525316
Anser cygnoides	8845	PRJNA253976	253976	Animals	Birds	1130.28	41.8	GCA_002166845.1	-	LABU01	1801	-	-	2017/06/02	2017/06/05	Scaffold	Poultry Science Institute	SAMN02898389
Vicugna pacos huacaya	273913	PRJNA233565	233565	Animals	Mammals	2013.7	41.5	GCA_000767525.1	-	JEMW01	52275	-	-	2014/10/20	2015/02/11	Scaffold	BGI-Shenzhen	SAMN02996813
Ovis aries musimon	9938	PRJNA276576	276576	Animals	Mammals	2589.83	42.4	GCA_000765115.1	-	CBYI01	6173	28073	53571	2014/07/11	2015/01/30	Scaffold	NCBI	SAMEA3146279
Mus musculus musculus	39442	PRJNA310854	310854	Animals	Mammals	2559.99	42.2966	GCA_001624775.1	chromosome 1:CM004114.1; chromosome 2:CM004115.1; chromosome 3:CM004116.1; chromosome 4:CM004117.1; chromosome 5:CM004118.1; chromosome 6:CM004119.1; chromosome 7:CM004120.1; chromosome 8:CM004121.1; chromosome 9:CM004122.1; chromosome 10:CM004123.1; chromosome 11:CM004124.1; chromosome 12:CM004125.1; chromosome 13:CM004126.1; chromosome 14:CM004127.1; chromosome 15:CM004128.1; chromosome 16:CM004129.1; chromosome 17:CM004130.1; chromosome 18:CM004131.1; chromosome 19:CM004132.1; chromosome X:CM004133.1; mitochondrion MT:CM004187.1	LVXU01	3140	-	-	2016/04/15	2016/04/25	Chromosome	Wellcome Trust Sanger Institute	SAMN04489829
